;Grid_Code;population_total_units;al_10_under;al_10_19;al_20_29;al_30_39;al_40_49;al_50_59;al_60_69;al_70_79;al_80_over;alk_18_under;alk_18_29;alk_30_49;alk_50_64;alk_65_over;fam_single;fam_married;fam_widowed;fam_divorced;fam_civil_partner;fam_civil_partner_deceased;fam_civil_partner_dissolved;fam_unknown;geb_germany;geb_eu27;geb_other_europe;geb_other_world;geb_other;ght_male;ght_female;re_roman_catholic;re_protestant;re_other;sg_germany;sg_eu27;sg_other_europe;sg_other_world;sg_other;sh_germany;sh_bosnia;sh_greece;sh_italy;sh_kazakhstan;sh_croatia;sh_netherlands;sh_austria;sh_poland;sh_romania;sh_russia;sh_turkey;sh_ukraine;sh_other;sk_germany;sk_abroad;sz_one;sz_mult_german_foreign;sz_mult_foreign_only;sz_unknown
10528;100mN33311E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10694;100mN33312E42406;18;0;0;15;0;0;0;0;0;3;0;15;0;0;3;16;0;3;0;0;0;0;0;16;0;0;3;0;9;9;5;11;3;18;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;17;0;0;0
10695;100mN33312E42407;67;3;3;19;9;5;11;8;4;6;4;20;14;17;12;35;14;7;11;0;0;0;0;60;0;3;3;3;34;33;4;23;40;67;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;64;3;0;0
10696;100mN33312E42408;93;3;3;34;15;15;8;7;7;3;5;34;30;13;11;57;26;0;9;0;0;0;0;82;5;0;5;0;46;47;11;40;42;89;3;0;3;0;89;0;0;0;0;0;0;0;0;0;0;0;0;3;89;4;87;6;0;0
10697;100mN33312E42409;222;12;12;62;40;38;20;8;18;12;22;64;78;25;33;126;62;10;22;3;0;0;0;170;15;20;13;4;123;99;28;77;117;188;11;17;6;0;188;3;0;0;0;0;0;0;5;0;4;10;0;12;188;34;203;19;0;0
10698;100mN33312E42410;111;9;9;27;12;20;9;8;9;8;15;30;32;14;20;54;40;8;9;0;0;0;0;77;4;18;10;3;63;48;9;31;71;94;0;12;4;0;94;0;0;0;0;0;0;0;0;0;0;8;0;6;94;17;96;15;0;0
10699;100mN33312E42411;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
10700;100mN33312E42412;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;3;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
10701;100mN33312E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10702;100mN33312E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10703;100mN33312E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10867;100mN33313E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10868;100mN33313E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10869;100mN33313E42405;61;3;0;34;8;5;3;3;3;3;3;34;13;5;6;50;5;4;3;0;0;0;0;55;3;0;3;0;29;32;10;18;33;57;0;3;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;3;57;4;58;3;0;0
10870;100mN33313E42406;243;29;11;65;47;37;14;20;12;8;40;65;84;23;31;147;63;12;21;0;0;0;0;165;12;45;20;0;118;125;22;65;156;178;7;45;12;0;178;0;0;0;0;0;0;0;0;0;4;31;0;27;178;65;213;28;0;0
10871;100mN33313E42407;112;7;4;30;19;16;17;4;9;6;8;33;35;19;17;65;28;5;11;3;0;0;0;89;6;4;11;3;52;60;12;42;58;94;6;5;7;0;94;0;0;0;0;0;0;0;0;0;0;3;0;11;94;18;106;6;0;0
10872;100mN33313E42408;151;14;5;38;26;24;13;13;13;5;15;42;50;21;23;74;40;6;31;0;0;0;0;100;9;9;27;6;73;78;16;46;89;121;6;7;17;0;121;0;0;3;0;0;0;0;0;0;0;6;0;20;121;30;127;24;0;0
10873;100mN33313E42409;111;4;7;23;10;18;16;15;10;8;10;24;28;25;24;46;42;10;13;0;0;0;0;91;3;8;9;0;51;60;8;45;58;93;6;8;4;0;93;0;0;0;0;0;0;0;0;0;0;3;0;13;93;18;100;11;0;0
10874;100mN33313E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10875;100mN33313E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10876;100mN33313E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10877;100mN33313E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10878;100mN33313E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10879;100mN33313E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10880;100mN33313E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11044;100mN33314E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11045;100mN33314E42403;7;0;0;0;3;3;0;0;0;0;0;0;5;0;0;3;3;0;3;0;0;0;0;3;0;0;3;0;5;3;3;0;4;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;7;0;0;0
11046;100mN33314E42404;32;0;3;17;3;3;5;0;3;0;3;17;5;5;3;21;7;3;3;0;0;0;0;18;4;4;6;0;14;18;4;11;17;25;3;0;4;0;25;0;0;0;0;0;0;0;0;0;0;0;0;6;25;7;28;4;0;0
11047;100mN33314E42405;134;4;0;19;9;6;6;10;21;58;4;20;15;8;87;45;22;56;11;0;0;0;0;93;6;4;4;27;48;86;17;62;55;128;0;4;3;0;128;0;0;0;0;0;0;0;0;0;0;0;0;3;128;6;131;3;0;0
11048;100mN33314E42406;175;3;5;64;26;17;27;17;8;8;6;66;43;39;21;107;43;9;16;0;0;0;0;121;12;9;31;3;100;75;24;56;95;134;6;10;25;0;134;0;0;0;0;0;0;0;3;0;3;7;0;28;134;41;166;9;0;0
