,country_name,government_expenditure_on_education_perc_of_gdp,life_expectancy_at_birth,population_total,population_urban
53,Denmark,6.38000011444092,81.5512195121951,5831404.0,5138400.0
54,Djibouti,,62.694,1090156.0,850998.0
55,Dominica,4.69630002975464,,71995.0,51181.0
56,Dominican Republic,4.61870002746582,72.889,10999664.0,9079123.0
57,Ecuador,4.13413000106812,72.153,17588595.0,11285898.0
58,"Egypt, Arab Rep.",2.48000001907349,70.99,107465134.0,45976808.0
59,El Salvador,4.07082843780518,71.061,6292731.0,4621633.0
60,Equatorial Guinea,,60.708,1596049.0,1166712.0
61,Eritrea,,67.133,3555868.0,1470245.0
62,Estonia,6.57999992370605,78.3463414634146,1329522.0,920415.0
63,Eswatini,5.34233999252319,59.692,1180655.0,285376.0
64,Ethiopia,,65.371,117190911.0,25424568.0
65,Faroe Islands,,83.0926829268293,52415.0,22223.0
66,Fiji,5.67535305023193,67.924,920422.0,526914.0
67,Finland,5.88000011444092,82.1317073170732,5529543.0,4728699.0
68,France,5.5,82.1756097560976,67571107.0,54715704.0
69,French Polynesia,,82.217,301920.0,187115.0
70,Gabon,3.18161010742188,66.531,2292573.0,2065425.0
71,"Gambia, The",2.76372003555298,62.612,2573995.0,1610858.0
72,Georgia,3.85008001327515,72.765,3722716.0,2213266.0
73,Germany,4.65999984741211,80.9414634146342,83160871.0,64410589.0
74,Ghana,,64.114,32180401.0,18455138.0
75,Gibraltar,,82.198,32709.0,32709.0
76,Greece,4.44000005722046,81.0878048780488,10698599.0,8528388.0
77,Greenland,,71.4046341463415,56367.0,49198.0
78,Grenada,,74.924,123663.0,45183.0
79,Guam,,76.612,169231.0,160665.0
80,Guatemala,3.29972004890442,71.797,16858333.0,8738685.0
81,Guinea,2.19947004318237,59.327,13205153.0,4869400.0
82,Guinea-Bissau,2.70843005180359,59.999,2015828.0,890915.0
83,Guyana,,68.486,797202.0,213539.0
84,Haiti,1.37101435661316,64.052,11306801.0,6454827.0
85,Honduras,6.43843984603882,71.462,10121763.0,5906960.0
86,"Hong Kong SAR, China",4.4063401222229,85.3878048780488,7481000.0,7481000.0
87,Hungary,4.76000022888184,75.6170731707317,9750149.0,7014452.0
88,Iceland,7.71999979019165,83.0658536585366,366463.0,344101.0
89,India,4.47422981262207,70.15,1396387127.0,487702168.0
90,Indonesia,3.49000000953674,68.808,271857970.0,153983073.0
91,"Iran, Islamic Rep.",3.59243011474609,74.832,87290193.0,66230561.0
92,Iraq,,69.123,42556984.0,30169923.0
93,Ireland,3.09999990463257,82.2048780487805,4985382.0,3173345.0
94,Isle of Man,,80.588,84046.0,44459.0
95,Israel,7.07000017166138,82.7,9215100.0,8531985.0
96,Italy,4.26999998092651,82.3439024390244,59438851.0,42224765.0
97,Jamaica,5.61749982833862,71.869,2820436.0,1588216.0
98,Japan,3.42000007629395,84.6156097560976,126261000.0,115884871.0
99,Jordan,3.67000007629395,75.184,10928721.0,9990818.0
100,Kazakhstan,4.44620370864868,71.37,18755666.0,10816580.0
101,Kenya,5.07996988296509,62.675,51985780.0,14553419.0
102,Kiribati,,67.266,126463.0,70306.0
103,"Korea, Dem. People's Rep.",,73.274,25867467.0,16136385.0
104,"Korea, Rep.",,83.4268292682927,51836239.0,42201956.0
105,Kosovo,,76.567,1790133.0,
106,Kuwait,6.55125999450684,76.92,4360444.0,4360444.0
107,Kyrgyz Republic,6.21486473083496,71.8,6579900.0,2425088.0
108,Lao PDR,2.29976010322571,68.497,7319399.0,2656210.0
109,Latvia,5.96999979019165,75.3878048780488,1900449.0,1298292.0
110,Lebanon,1.69000005722046,77.804,5662923.0,5035754.0
111,Lesotho,7.66936016082764,54.693,2254100.0,654320.0
112,Liberia,2.30928993225098,60.948,5087584.0,2650072.0
113,Libya,,72.472,6653942.0,5369132.0
114,Liechtenstein,,81.8073170731707,38756.0,5587.0
